Email,Spam
Lunch plans? Invoice for last month,0
Follow up on our call Project update,0
Free trial available Claim your reward now,1
Team event next week Lunch plans?,0
Lunch plans? Invoice for last month,0
Can we reschedule? Meeting tomorrow,0
Team event next week Project update,0
Team event next week Let's catch up,0
Invoice for last month Team event next week,0
Act now! Exclusive deal,1
Can we reschedule? Project update,0
Limited time offer Urgent: Update required,1
Act now! Your account has been suspended,1
Exclusive deal Limited time offer,1
Exclusive deal Act now!,1
Meeting tomorrow Invoice for last month,0
Follow up on our call Can we reschedule?,0
Booking confirmation Follow up on our call,0
Urgent: Update required Free trial available,1
Follow up on our call Invoice for last month,0
Team event next week Invoice for last month,0
Booking confirmation Team event next week,0
Your account has been suspended Limited time offer,1
You are selected Free trial available,1
Act now! Urgent: Update required,1
You are selected Exclusive deal,1
Win a free iPhone Free trial available,1
Can we reschedule? Booking confirmation,0
Lunch plans? Team event next week,0
Team event next week Let's catch up,0
Free trial available Win a free iPhone,1
Meeting tomorrow Follow up on our call,0
Free trial available Win a free iPhone,1
You are selected Congratulations! You've won,1
Claim your reward now Act now!,1
Free trial available Limited time offer,1
Win a free iPhone Your account has been suspended,1
Act now! Act now!,1
Booking confirmation Meeting tomorrow,0
Claim your reward now Win a free iPhone,1
Limited time offer You are selected,1
Meeting tomorrow Meeting tomorrow,0
Your account has been suspended Congratulations! You've won,1
Meeting tomorrow Follow up on our call,0
Booking confirmation Can we reschedule?,0
Lunch plans? Follow up on our call,0
Let's catch up Your appointment details,0
Win a free iPhone Limited time offer,1
Urgent: Update required Limited time offer,1
Limited time offer Urgent: Update required,1
