Email,Spam
Lunch plans? Invoice for last month,0
Follow up on our call Project update,0
Free trial available Claim your reward now,1
Team event next week Lunch plans?,0
Your invoice for last month is ready,0
Project update and next steps,0
Claim your reward now, it's free,1
Next week's team event schedule,0
Did you see the project update?,0
Your free trial is ending soon,1
Let's discuss the invoice for last month,0
Important project update, please read,0
You can now claim your free reward,1
Are you coming to the team event?,0
The project update is attached,0
Your reward is waiting for you, claim it now,1
See you at the team event next week,0
Final invoice for last month,0
Reminder: Project update meeting,0
Your free trial has been extended,1
Lunch plans tomorrow?,0
Follow up on our previous call,0
Get your free reward today,1
Team event details enclosed,0
Review of the invoice for last month,0
Critical project update, action required,0
Don't miss out on your free trial,1
Confirming your attendance for the team event,0
Invoice attached for your records,0
A quick project update from the team,0
Claim your exclusive reward,1
Team event location and time,0
Question about the invoice from last month,0
Weekly project update,0
Your free trial is about to expire,1
How about lunch plans for Wednesday?,0
Following up on our call last week,0
Your reward is ready to be claimed,1
Logistics for the team event,0
Attached is the invoice for services rendered,0
Project update: new deadline,0
Free trial, no credit card required,1
Who is joining for lunch plans?,0
Quick follow up on our call,0
The team event is next Friday,0
Invoice payment reminder,0
Project update for stakeholders,0
You've won a free reward!,1
Team event agenda,0
Invoice dispute for last month,0
URGENT: Your account is suspended! Click here to verify,1
Congratulations! You are the lucky winner of our prize draw,1
Meeting reminder: Project planning at 10 AM tomorrow,0
Here is the document you requested,0
Limited time offer: Get 50% off all products now,1
Can we reschedule our call for Friday?,0
Increase your performance with our new supplement,1
Running a few minutes late, see you soon,0
Work from home and earn thousands weekly, apply here,1
Thanks for sending the report, I will review it shortly,0
Claim your free gift card, no purchase necessary,1
How was your weekend? Let's catch up for lunch.,0
Meet singles in your area tonight,1
Updated agenda for the team meeting attached,0
Your Amazon Prime subscription has expired. Update payment details.,1
Just confirming our dinner reservation for Saturday at 8 PM,0
Lowest prices on Viagra and Cialis, discreet shipping,1
Could you please look over these slides before the presentation?,0
Money-back guarantee if you are not satisfied,1
Your latest order has been shipped,0
You have been selected for a special loan offer,1
Forgot to mention, the office will be closed on Monday,0
Don't miss out on these exclusive deals,1
Let me know if you need any help with the setup,0
Message from your bank: Unusual activity detected,1
Here are the notes from today's conference call,0
Lose weight fast with this one weird trick,1
Happy birthday! Hope you have a great day.,0
This is not spam, this is a business opportunity,1
Flight confirmation for your trip to London,0
Your PayPal account needs immediate attention. Login now.,1
Celebrity secrets revealed, click to read.,1
You've won a new iPhone! Enter your details to claim.,1
Quick question about the Q3 financial report.,0
See you at the company picnic on Saturday!,0
Your library books are due for return next week.,0
Password reset request for your account.,0
Thank you for your recent purchase from our store.,0
Refinance your mortgage at an all-time low rate.,1
Download our free software for amazing results.,1
