age,estimated_salary,credit_score,purchased
36,66396,753,0
50,62747,755,0
25,21910,415,1
24,21374,533,1
50,63556,663,0
22,44723,617,0
26,42266,524,1
26,31198,614,0
53,71394,839,1
25,36834,594,1
26,16678,471,1
29,42890,395,1
18,23110,530,1
40,78942,783,0
18,17693,479,1
32,81777,849,1
48,95773,840,1
36,60189,653,0
20,37361,436,1
37,78431,703,0
22,33141,524,1
50,68792,689,0
18,32412,582,1
20,33047,412,1
50,77159,837,0
29,40939,567,1
37,90740,697,0
41,95920,690,0
52,61899,795,1
30,47482,647,0
30,74541,773,0
53,74502,664,1
31,83483,803,1
20,18627,351,1
40,91551,811,1
24,28773,489,1
33,44467,412,0
20,38419,617,0
28,40446,532,1
51,61585,664,1
27,29820,606,0
49,87480,781,1
53,71016,760,1
44,85658,651,0
24,48827,451,1
25,36518,497,1
29,48270,420,1
35,62612,673,0
25,24914,459,1
40,61267,693,0
41,83897,702,1
51,70627,839,1
18,41105,400,1
31,68433,731,0
55,79118,703,1
18,37403,464,1
33,63890,744,0
55,86531,806,1
19,37299,532,1
34,15206,558,0
58,20860,835,1
34,139879,506,0
58,102386,521,0
30,146324,487,0
43,87221,530,0
43,141637,813,1
40,73707,560,0
44,126970,448,0
47,143855,587,0
22,61606,706,0
58,30627,673,1
44,128557,715,1
28,88148,745,1
47,43483,766,0
26,145436,827,1
54,55920,605,0
59,39457,787,1
25,98953,453,0
23,29692,709,0
37,91211,617,0
55,52606,669,1
34,111387,614,0
59,43247,612,0
37,29268,766,0
43,83704,809,1
48,81228,414,0
26,140151,408,0
20,144375,535,0
30,53159,480,0
54,149312,818,1
58,72251,440,0
27,133569,667,0
42,99575,461,0
59,44538,613,0
54,118018,848,1
33,72992,530,0
33,141626,758,1
34,142409,745,1
51,142096,630,0
51,38141,787,1
